Date,Route,Rating,Notes,URL,Pitches,Location,Avg Stars,Your Stars,Style,Lead Style,Route Type,Your Rating,Length,Rating Code
2024-12-01,Birdland,5.7+,"Last day w/ Susan and link. Great climb. Led P4. Would love to return and led them all. P2 was little complicated. Take your time and find good holds, jams, and feet (behind you). P3 was spooky and delicate but would lead. Take time on traverse. Link built trad anchor top P5, so Susan and I got a free mini lead pitch on the crux moves to get to the rap rings. ",https://www.mountainproject.com/route/105733115/birdland,6,Nevada > Southern Nevada > Red Rocks > (10) Pine Creek Canyon > Brass Wall,3.4,4,Lead,,Trad,,600.0,1900.0
2024-11-30,Solar Slab,5.6,"W/ Jack, link, and Elizabeth. Lead P1, 34, 89 
Jack linked P5-7 required with 70 and 5m of simuling. P1 was awesome, runout was fine. Absurd beta from me on p3. RH ring lock, LH sloper, RF foot jam, LF smear. I definitely don’t over climb 5.6. Great day. ",https://www.mountainproject.com/route/105732257/solar-slab,9,Nevada > Southern Nevada > Red Rocks > (12) Oak Creek Canyon > Solar Slab - Upper Tier,3.5,4,Lead,,Trad,,1220.0,1600.0
2024-11-30,Solar Slab Gully,5.4,"Followed/ Jack. W/ link and Elizabeth. Jack linked 1,2,3 with a 70m plus 5-10m of simuling. Rapped twice with two 70s",https://www.mountainproject.com/route/105732227/solar-slab-gully,5,Nevada > Southern Nevada > Red Rocks > (12) Oak Creek Canyon > Solar Slab - Lower Tier,2.1,-1,Follow,,Trad,,540.0,1400.0
2024-11-29,Dark Shadows,5.8,"W/ Jack and Susan. We crushed. Led P1. 
P1 was slabby, felt sketch. 
Jack led p2-4, p2 5.6 but awkward, slick, and committing; would lead but would be stressful. P3, fell off lay back 10-15&#34; up forward. Was spooky because it was a true fall. But bad beta, need to find handjams deep in the crack and use feet inside crack instead of layback. Rest of climbing was sweet. P4 off width was fine but would be scary lead. Use small holds inside crack and reach high. 2 raps with twins. Maybe full thing, next trip?",https://www.mountainproject.com/route/105732380/dark-shadows,4,Nevada > Southern Nevada > Red Rocks > (10) Pine Creek Canyon > Mescalito > Dark Shadows Wall,3.6,4,Lead,,Trad,,350.0,2100.0
2024-11-28,Olive Oil,5.7,"W/ Tom behind Susan and Jack. Led P1/3/5
P1 a bit sketch but manageable, forgot the nuts wish I had them. Committing move out left. Apparently placed a .3 as a nut and then forgot to clip it or it unclipped itself?? P3 chill, P5 traverse used good holds as feet and worked over. Scary ass chimney. Had to hang bag, and Jack left a 3 for me which helped, still one of the more bold leads I’ve had. Also pulled up rope  too much and almost pulled Tom off the cliff. Descent through gully on right
Anchors: 
P1: 1,2,3
P2: 0.75, 0.5, yellow and blue totem. 4 would have been nice
P3: 0.75, 2, 3
P4: 0.2, 0.3, little blue nut, slung chicken head on left
P5: 0.5, 0.4, blue or black totem
",https://www.mountainproject.com/route/105732494/olive-oil,5,Nevada > Southern Nevada > Red Rocks > (11) Juniper Canyon > Rose Tower,3.4,4,Lead,Onsight,Trad,,600.0,1800.0
2024-11-27,Kibbles 'n bits,5.8,"W/ Susan. Led P2, Cheated 2nd Clip, stay further right",https://www.mountainproject.com/route/123175091/kibbles-n-bits,2,Nevada > Southern Nevada > Red Rocks > (05) Sandstone Quarry > Parking Lot Area > Man's Best Friend Area,2.4,-1,Lead,,Sport,,190.0,2100.0
2024-11-27,Man's Best Friend,5.7,"W/ Susan. Led P1, fun and chill, easy approach. Rapped in, Scrambled Gully to exit",https://www.mountainproject.com/route/106070440/mans-best-friend,2,Nevada > Southern Nevada > Red Rocks > (05) Sandstone Quarry > Parking Lot Area > Man's Best Friend Area,2.7,-1,Lead,Onsight,Sport,,180.0,1800.0
2024-11-16,Sixish,5.5,"W/ Filipe, we did 5.6 variation of the next, he lead P1 i lead P23. I would stick to normal route for when I lead it. P23 was harder than anticipated, the traverse has very poor hands but good feet if you stretch it out",https://www.mountainproject.com/route/105968658/sixish,3,New York > The Gunks > The Trapps > c. Frog's Head - the Arch,3.0,-1,Lead,,Trad,,200.0,1500.0
2024-11-16,Hawk,5.5,W/ Felipe. I lead 1/3 he lead 2. Mine were fine and fun but no notes. The traverse pitch was awesome. 120 cm on second peace in first corner. Some froggy stance move which will be spooky on lead but seriously cool. Crux is chalked jugs with piton. Then cut feet and have fun. ,https://www.mountainproject.com/route/105806018/hawk,3,New York > The Gunks > The Trapps > f. The Guides' Wall (Madame G's),2.9,4,Lead,,Trad,,290.0,1500.0
2024-11-16,Madame Grunnebaum's Wulst,5.6,"Split leads with Felipe. He crushed, i didn’t look at guide book and definitely did a variation on P1. Would love to come back and lead the whole thing. Crux is actually first lil dihedral on p2 where you have to smear foot on arete. It’s good just go for it. Second crux is standing Waco. Just over crimp and get your weight under your feet. Last crux is the last mantle. Go right more than you think. Last good peice is pro is the #3 on the last roof pull",https://www.mountainproject.com/route/105799697/madame-grunnebaums-wulst,3,New York > The Gunks > The Trapps > f. The Guides' Wall (Madame G's),3.8,4,Lead,,Trad,,210.0,1600.0
